date,Aldrich,Maurer
00:00:00 9/15/16, 51, 3
01:00:00 9/15/16, 46, 2
02:00:00 9/15/16, 43, 2
03:00:00 9/15/16, 41, 3
04:00:00 9/15/16, 41, 2
05:00:00 9/15/16, 50, 2
06:00:00 9/15/16, 69, 3
07:00:00 9/15/16, 72, 2
08:00:00 9/15/16, 76, 2
09:00:00 9/15/16, 83, 2
10:00:00 9/15/16, 88, 2
11:00:00 9/15/16, 90, 3
12:00:00 9/15/16, 98, 3
13:00:00 9/15/16, 96, 5
14:00:00 9/15/16, 95, 3
15:00:00 9/15/16, 10, 29
16:00:00 9/15/16, 10, 47
17:00:00 9/15/16, 10, 33
18:00:00 9/15/16, 10, 29
19:00:00 9/15/16, 99, 2
20:00:00 9/15/16, 10, 31
21:00:00 9/15/16, 95, 4
22:00:00 9/15/16, 92, 4
23:00:00 9/15/16, 81, 9
00:00:00 9/16/16, 73, 5
01:00:00 9/16/16, 65, 3
02:00:00 9/16/16, 61, 3
03:00:00 9/16/16, 58, 3
04:00:00 9/16/16, 58, 2
05:00:00 9/16/16, 65, 3
06:00:00 9/16/16, 81, 3
07:00:00 9/16/16, 81, 2
08:00:00 9/16/16, 87, 2
09:00:00 9/16/16, 87, 3
10:00:00 9/16/16, 87, 2
11:00:00 9/16/16, 93, 2
12:00:00 9/16/16, 91, 2
13:00:00 9/16/16, 92, 2
14:00:00 9/16/16, 93, 3
15:00:00 9/16/16, 90, 3
16:00:00 9/16/16, 92, 3
17:00:00 9/16/16, 93, 3
18:00:00 9/16/16, 93, 4
19:00:00 9/16/16, 94, 6
20:00:00 9/16/16, 99, 5
21:00:00 9/16/16, 96, 5
22:00:00 9/16/16, 82, 3
23:00:00 9/16/16, 62, 3
00:00:00 9/17/16, 54, 4
01:00:00 9/17/16, 53, 5
02:00:00 9/17/16, 53, 2
03:00:00 9/17/16, 50, 2
04:00:00 9/17/16, 48, 2
05:00:00 9/17/16, 47, 2
06:00:00 9/17/16, 46, 2
07:00:00 9/17/16, 63, 2
08:00:00 9/17/16, 70, 2
09:00:00 9/17/16, 78, 1
10:00:00 9/17/16, 80, 2
11:00:00 9/17/16, 79, 1
12:00:00 9/17/16, 80, 1
13:00:00 9/17/16, 86, 5
14:00:00 9/17/16, 92, 5
15:00:00 9/17/16, 93, 5
16:00:00 9/17/16, 93, 1
17:00:00 9/17/16, 91, 7
18:00:00 9/17/16, 92, 2
19:00:00 9/17/16, 93, 4
20:00:00 9/17/16, 97, 6
21:00:00 9/17/16, 90, 4
22:00:00 9/17/16, 76, 4
23:00:00 9/17/16, 64, 3
00:00:00 9/18/16, 59, 2
01:00:00 9/18/16, 57, 7
02:00:00 9/18/16, 56, 3
03:00:00 9/18/16, 51, 3
04:00:00 9/18/16, 49, 2
05:00:00 9/18/16, 46, 2
06:00:00 9/18/16, 47, 3
07:00:00 9/18/16, 69, 2
08:00:00 9/18/16, 70, 2
09:00:00 9/18/16, 77, 2
10:00:00 9/18/16, 82, 2
11:00:00 9/18/16, 80, 6
12:00:00 9/18/16, 87, 6
13:00:00 9/18/16, 79, 8
14:00:00 9/18/16, 78, 3
15:00:00 9/18/16, 78, 4
16:00:00 9/18/16, 79, 5
17:00:00 9/18/16, 85, 6
18:00:00 9/18/16, 73, 8
19:00:00 9/18/16, 69, 3
20:00:00 9/18/16, 72, 8
21:00:00 9/18/16, 72, 5
22:00:00 9/18/16, 65, 8
23:00:00 9/18/16, 63, 5
00:00:00 9/19/16, 55, 5
01:00:00 9/19/16, 50, 4
02:00:00 9/19/16, 49, 3
03:00:00 9/19/16, 44, 3
04:00:00 9/19/16, 43, 3
05:00:00 9/19/16, 54, 4
06:00:00 9/19/16, 70, 2
07:00:00 9/19/16, 73, 3
08:00:00 9/19/16, 78, 3
09:00:00 9/19/16, 82, 2
10:00:00 9/19/16, 84, 2
11:00:00 9/19/16, 89, 3
12:00:00 9/19/16, 93, 2
13:00:00 9/19/16, 94, 3
14:00:00 9/19/16, 91, 2
15:00:00 9/19/16, 94, 2
16:00:00 9/19/16, 94, 3
17:00:00 9/19/16, 93, 5
18:00:00 9/19/16, 10, 61
19:00:00 9/19/16, 94, 4
20:00:00 9/19/16, 92, 5
